MarcosGOD: INICIOU EM:  Wed Jan 16 00:32:07 2019
MarcosGOD: INICIOU EM:  Wed Jan 16 00:33:24 2019
MarcosGOD: INICIOU EM:  Wed Jan 16 01:18:42 2019
MarcosGOD: INICIOU EM:  Wed Jan 16 01:47:54 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 01:56:11 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 01:56:42 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 01:57:24 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 02:56:48 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 02:58:08 2019   NO TRAINER 1 
Adocica: INICIOU EM:  Wed Jan 16 03:04:51 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 03:05:01 2019   NO TRAINER 2 
MarcosGOD: INICIOU EM:  Wed Jan 16 03:15:24 2019   NO TRAINER 1 
Adocica: INICIOU EM:  Wed Jan 16 03:15:32 2019   NO TRAINER 2 
MarcosGOD: INICIOU EM:  Wed Jan 16 03:18:49 2019   NO TRAINER 1 
Adocica: INICIOU EM:  Wed Jan 16 03:18:57 2019   NO TRAINER 2 
MarcosGOD: INICIOU EM:  Wed Jan 16 03:20:18 2019   NO TRAINER 1 
Aurelio: INICIOU EM:  Wed Jan 16 03:20:21 2019   NO TRAINER 2 
Adocica: INICIOU EM:  Wed Jan 16 03:20:25 2019   NO TRAINER 3 
MarcosGOD: INICIOU EM:  Wed Jan 16 03:21:53 2019   NO TRAINER 1 
Aurelio: INICIOU EM:  Wed Jan 16 03:21:59 2019   NO TRAINER 2 
Woes: INICIOU EM:  Wed Jan 16 11:55:29 2019   NO TRAINER 1 
Yesio: INICIOU EM:  Wed Jan 16 11:55:42 2019   NO TRAINER 2 
Aurelio: INICIOU EM:  Wed Jan 16 11:55:44 2019   NO TRAINER 3 
MarcosGOD: INICIOU EM:  Wed Jan 16 11:57:33 2019   NO TRAINER 1 
Woes: INICIOU EM:  Wed Jan 16 11:57:46 2019   NO TRAINER 2 
Woes: INICIOU EM:  Wed Jan 16 12:00:50 2019   NO TRAINER 1 
MarcosGOD: INICIOU EM:  Wed Jan 16 12:00:52 2019   NO TRAINER 2 
MarcosGOD: INICIOU EM:  Wed Jan 16 13:20:12 2019   NO TRAINER 1 
